PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"21978119","Gel'fand-Graev's reconstruction formula in the 3D real space","Ye Y, Yu H, Wang G.","Med Phys. 2011 Jul;38 Suppl 1(Suppl 1):S69. doi: 10.1118/1.3577765.","Ye Y","Med Phys","2011","2011/10/08","PMC3172127","","10.1118/1.3577765"
"21978117","Dynamic CT technique for assessment of wrist joint instabilities","Leng S, Zhao K, Qu M, An KN, Berger R, McCollough CH.","Med Phys. 2011 Jul;38 Suppl 1(Suppl 1):S50. doi: 10.1118/1.3577759.","Leng S","Med Phys","2011","2011/10/08","PMC3616456","","10.1118/1.3577759"
"21978116","Iterative correction of beam hardening artifacts in CT","Van Gompel G, Van Slambrouck K, Defrise M, Batenburg KJ, de Mey J, Sijbers J, Nuyts J.","Med Phys. 2011 Jul;38 Suppl 1:S36. doi: 10.1118/1.3577758.","Van Gompel G","Med Phys","2011","2011/10/08","","","10.1118/1.3577758"
"21978115","Automated assessment of low contrast sensitivity for CT systems using a model observer","Hernandez-Giron I, Geleijns J, Calzado A, Veldkamp WJ.","Med Phys. 2011 Jul;38 Suppl 1:S25. doi: 10.1118/1.3577757.","Hernandez-Giron I","Med Phys","2011","2011/10/08","","","10.1118/1.3577757"
"21978114","Fluence field optimization for noise and dose objectives in CT","Bartolac S, Graham S, Siewerdsen J, Jaffray D.","Med Phys. 2011 Jul;38 Suppl 1:S2. doi: 10.1118/1.3574885.","Bartolac S","Med Phys","2011","2011/10/08","","","10.1118/1.3574885"
"21978112","A constrained, total-variation minimization algorithm for low-intensity x-ray CT","Sidky EY, Duchin Y, Pan X, Ullberg C.","Med Phys. 2011 Jul;38 Suppl 1(Suppl 1):S117. doi: 10.1118/1.3560887.","Sidky EY","Med Phys","2011","2011/10/08","PMC3172126","","10.1118/1.3560887"
"22149863","The tenuous state of clinical medical physics in diagnostic imaging","Samei E, Anthony Seibert J.","Med Phys. 2011 Dec;38(12):iii-iv. doi: 10.1118/1.3664002.","Samei E","Med Phys","2011","2011/12/14","","","10.1118/1.3664002"
"22149862","Scientific journals and impact factors","Hendee W, Bernstein MA, Levine D.","Med Phys. 2011 Dec;38(12):i-ii. doi: 10.1118/1.3660554.","Hendee W","Med Phys","2011","2011/12/14","","","10.1118/1.3660554"
"22149860","Comment on ""in-patient to isocenter KERMA ratios in CT"" [Med. Phys. 38, 5362-5369 (2011)]","Li X, Zhang D, Liu B.","Med Phys. 2011 Dec;38(12):6787-8. doi: 10.1118/1.3663667.","Li X","Med Phys","2011","2011/12/14","","","10.1118/1.3663667"
"22149859","Fully 3D list-mode time-of-flight PET image reconstruction on GPUs using CUDA","Cui JY, Pratx G, Prevrhal S, Levin CS.","Med Phys. 2011 Dec;38(12):6775-86. doi: 10.1118/1.3661998.","Cui JY","Med Phys","2011","2011/12/14","","","10.1118/1.3661998"
