PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35271749","Study on the RF transparency of electrically floating and ground PET inserts in a 3T clinical MRI system","Akram MSH, Obata T, Nishikido F, Yamaya T.","Med Phys. 2022 Mar 10. doi: 10.1002/mp.15588. Online ahead of print.","Akram MSH","Med Phys","2022","2022/03/10","","","10.1002/mp.15588"
"35271746","Feature fusion siamese network for breast cancer detection comparing current and prior mammograms","Bai J, Jin A, Wang T, Yang C, Nabavi S.","Med Phys. 2022 Mar 10. doi: 10.1002/mp.15598. Online ahead of print.","Bai J","Med Phys","2022","2022/03/10","","","10.1002/mp.15598"
"35271742","Advanced quantitative evaluation of PET systems using the ACR phantom and NiftyPET software","Markiewicz PJ, da Costa-Luis C, Dickson J, Barnes A, Krokos G, MacKewn J, Clark T, Wimberley C, MacNaught G, Yaqub MM, Gispert JD, Hutton BF, Marsden P, Hammers A, Reader AJ, Ourselin S, Herholz K, Matthews JC, Barkhof F.","Med Phys. 2022 Mar 10. doi: 10.1002/mp.15596. Online ahead of print.","Markiewicz PJ","Med Phys","2022","2022/03/10","","","10.1002/mp.15596"
"35263458","A radiomics-boosted deep-learning model for COVID-19 and Non-COVID-19 pneumonia classification using chest X-ray images","Hu Z, Yang Z, Lafata KJ, Yin FF, Wang C.","Med Phys. 2022 Mar 8. doi: 10.1002/mp.15582. Online ahead of print.","Hu Z","Med Phys","2022","2022/03/09","","","10.1002/mp.15582"
"35262918","Effective brain network analysis in unilateral and bilateral upper limb exercise training in subjects with stroke","Gongcheng X, Congcong H, Jiahui Y, Wenhao L, Hui X, Xiangyang L, Zengyong L, Yonghui W, Daifa W.","Med Phys. 2022 Mar 8. doi: 10.1002/mp.15570. Online ahead of print.","Gongcheng X","Med Phys","2022","2022/03/09","","","10.1002/mp.15570"
"35262219","FLASH: Current status and the transition to clinical use","Farr JB, Parodi K, Carlson DJ.","Med Phys. 2022 Mar;49(3):1972-1973. doi: 10.1002/mp.15401.","Farr JB","Med Phys","2022","2022/03/09","","","10.1002/mp.15401"
"35261034","The uncertainty of boundary can improve the classification accuracy of BI-RADS 4A ultrasound image","Wang H, Hu Y, Lu Y, Zhou J, Guo Y.","Med Phys. 2022 Mar 8. doi: 10.1002/mp.15590. Online ahead of print.","Wang H","Med Phys","2022","2022/03/09","","","10.1002/mp.15590"
"35257395","INSIDEnet: Interpretable nonexpansive data-efficient network for denoising in grating interferometry breast CT","van Gogh S, Wang Z, Rawlik M, Etmann C, Mukherjee S, Schönlieb CB, Angst F, Boss A, Stampanoni M.","Med Phys. 2022 Mar 7. doi: 10.1002/mp.15595. Online ahead of print.","van Gogh S","Med Phys","2022","2022/03/08","","","10.1002/mp.15595"
"35253916","Experimental demonstration of improved magnetorelaxometry imaging performance using optimized coil configurations","Schier P, Liebl M, Steinhoff U, Wiekhorst F, Baumgarten D.","Med Phys. 2022 Mar 7. doi: 10.1002/mp.15594. Online ahead of print.","Schier P","Med Phys","2022","2022/03/07","","","10.1002/mp.15594"
"35246986","ConCeptCNN: A novel multi-filter convolutional neural network for the prediction of neurodevelopmental disorders using brain connectome","Chen M, Li H, Fan H, Dillman JR, Wang H, Altaye M, Zhang B, Parikh NA, He L.","Med Phys. 2022 Mar 5. doi: 10.1002/mp.15545. Online ahead of print.","Chen M","Med Phys","2022","2022/03/05","","","10.1002/mp.15545"
"35246870","Determination of optimal regularization factor in Bayesian penalized likelihood reconstruction of brain PET images using [(18) F]FDG and [(11) C]PiB","Wagatsuma K, Miwa K, Kamitaka Y, Koike E, Yamao T, Yoshii T, Kobayashi R, Nezu S, Sugamata Y, Miyaji N, Imabayashi E, Ishibashi K, Toyohara J, Ishii K.","Med Phys. 2022 Mar 5. doi: 10.1002/mp.15593. Online ahead of print.","Wagatsuma K","Med Phys","2022","2022/03/05","","","10.1002/mp.15593"
"35246842","Machine learning based oxygen and carbon concentration derivation using dual-energy CT for PET-based dose verification in proton therapy","Liu Y, Zhou L, Peng H.","Med Phys. 2022 Mar 4. doi: 10.1002/mp.15581. Online ahead of print.","Liu Y","Med Phys","2022","2022/03/05","","","10.1002/mp.15581"
"35239984","Synthetic 4DCT(MRI) lung phantom generation for 4D radiotherapy and image guidance investigations","Duetschler A, Bauman G, Bieri O, Cattin PC, Ehrbar S, Engin-Deniz G, Giger A, Josipovic M, Jud C, Krieger M, Nguyen D, Persson GF, Salomir R, Weber DC, Lomax AJ, Zhang Y.","Med Phys. 2022 Mar 3. doi: 10.1002/mp.15591. Online ahead of print.","Duetschler A","Med Phys","2022","2022/03/03","","","10.1002/mp.15591"
"35238048","OCT Retinal fundus image super-resolution based on a realistic mixed attention GAN (RMA-GAN)","Tian C, Yang J, Li P, Zhang S, Mi S.","Med Phys. 2022 Mar 2. doi: 10.1002/mp.15580. Online ahead of print.","Tian C","Med Phys","2022","2022/03/03","","","10.1002/mp.15580"
"35235222","Detection of anatomical changes using two-dimensional X-ray images for head and neck adaptive radiotherapy","Hirotaki K, Moriya S, Tachibana H, Sakae T.","Med Phys. 2022 Mar 2. doi: 10.1002/mp.15587. Online ahead of print.","Hirotaki K","Med Phys","2022","2022/03/02","","","10.1002/mp.15587"
"35235216","Impact of pixel value truncation on image quality of low dose chest CT","Hasegawa A, Ishihara T, Pan T, Ropp AM, Winkler M, Sneider MB.","Med Phys. 2022 Mar 2. doi: 10.1002/mp.15589. Online ahead of print.","Hasegawa A","Med Phys","2022","2022/03/02","","","10.1002/mp.15589"
"35229904","Head and neck synthetic CT generated from ultra-low-dose cone-beam CT following Image Gently Protocol using deep neural network","Yuan N, Rao S, Chen Q, Sensoy L, Qi J, Rong Y.","Med Phys. 2022 Feb 28. doi: 10.1002/mp.15585. Online ahead of print.","Yuan N","Med Phys","2022","2022/03/01","","","10.1002/mp.15585"
"35229344","Magnetic resonance imaging contrast enhancement synthesis using cascade networks with local supervision","Xie H, Lei Y, Wang T, Roper J, Axente M, Bradley JD, Liu T, Yang X.","Med Phys. 2022 Feb 28. doi: 10.1002/mp.15578. Online ahead of print.","Xie H","Med Phys","2022","2022/03/01","","","10.1002/mp.15578"
"35229311","A hybrid deep learning model for forecasting lymphocyte depletion during radiation therapy","Ebrahimi S, Lim G, Hobbs BP, Lin SH, Mohan R, Cao W.","Med Phys. 2022 Feb 28. doi: 10.1002/mp.15584. Online ahead of print.","Ebrahimi S","Med Phys","2022","2022/03/01","","","10.1002/mp.15584"
"35224747","A PET/MR coil with an integrated, orbiting 511 keV transmission source for PET/MR imaging validated in an animal study","Renner A, Rausch I, Cal Gonzalez J, Laistler E, Moser E, Jochimsen T, Sattler T, Sabri O, Beyer T, Figl M, Birkfellner W, Sattler B.","Med Phys. 2022 Feb 27. doi: 10.1002/mp.15586. Online ahead of print.","Renner A","Med Phys","2022","2022/02/28","","","10.1002/mp.15586"
"35218672","In vivo assessment of hypertensive nephrosclerosis using ultrasound localization microscopy","Qiu L, Zhang J, Yang Y, Zhang H, Lee FF, He Q, Huang C, Huang L, Qian L, Luo J.","Med Phys. 2022 Feb 26. doi: 10.1002/mp.15583. Online ahead of print.","Qiu L","Med Phys","2022","2022/02/26","","","10.1002/mp.15583"
"35218053","Delayed PET imaging using image synthesis network and nonrigid registration without additional CT scan","Rao F, Wu Z, Han L, Yang B, Han W, Zhu W.","Med Phys. 2022 Feb 25. doi: 10.1002/mp.15574. Online ahead of print.","Rao F","Med Phys","2022","2022/02/26","","","10.1002/mp.15574"
"35218040","Multisequence MR-generated sCT is promising for HNC MR-only RT: A comprehensive evaluation of previously developed sCT generation networks","Qi M, Li Y, Wu A, Lu X, Zhou L, Song T.","Med Phys. 2022 Feb 25. doi: 10.1002/mp.15572. Online ahead of print.","Qi M","Med Phys","2022","2022/02/26","","","10.1002/mp.15572"
"35218039","Impact of the training loss in deep learning based CT reconstruction of bone microarchitecture","Leuliet T, Maxim V, Peyrin F, Sixou B.","Med Phys. 2022 Feb 25. doi: 10.1002/mp.15577. Online ahead of print.","Leuliet T","Med Phys","2022","2022/02/26","","","10.1002/mp.15577"
"35218037","Technical note: Impact of beam properties for uveal melanoma proton therapy-An in silico planning study","Wulff J, Koska B, Janson M, Bäumer C, Denker A, Geismar D, Gollrad J, Timmermann B, Heufelder J.","Med Phys. 2022 Feb 26. doi: 10.1002/mp.15573. Online ahead of print.","Wulff J","Med Phys","2022","2022/02/26","","","10.1002/mp.15573"
"35218033","A hyperparameter-tuning approach to automated inverse planning","Maass K, Aravkin A, Kim M.","Med Phys. 2022 Feb 26. doi: 10.1002/mp.15557. Online ahead of print.","Maass K","Med Phys","2022","2022/02/26","","","10.1002/mp.15557"
"35218024","Neural network dose prediction for rectal spacer stratification in dose-escalated prostate radiotherapy","Thomas C, Dregely I, Oksuz I, Guerrero Urbano T, Greener T, King AP, Barrington SF.","Med Phys. 2022 Feb 26. doi: 10.1002/mp.15575. Online ahead of print.","Thomas C","Med Phys","2022","2022/02/26","","","10.1002/mp.15575"
"35213936","Automatic Inverse Treatment Planning of Gamma Knife Radiosurgery via Deep Reinforcement Learning","Liu Y, Shen C, Wang T, Zhang J, Yang X, Liu T, Kahn S, Shu HK, Tian Z.","Med Phys. 2022 Feb 25. doi: 10.1002/mp.15576. Online ahead of print.","Liu Y","Med Phys","2022","2022/02/25","","","10.1002/mp.15576"
"35213731","Technical note: Sources of systemic error in total body irradiation and total skin electron therapy in vivo measurements using nanoDot optically stimulated luminescence dosimeters within high-efficiency clinics","Yoon SW, Lin H, Mihailidis D, Kennedy C, Li T.","Med Phys. 2022 Feb 25. doi: 10.1002/mp.15571. Online ahead of print.","Yoon SW","Med Phys","2022","2022/02/25","","","10.1002/mp.15571"
"35213040","Treatment planning for Flash radiotherapy: general aspects and applications to proton beams","Schwarz M, Traneus E, Safai S, Kolano A, van de Water S.","Med Phys. 2022 Feb 25. doi: 10.1002/mp.15579. Online ahead of print.","Schwarz M","Med Phys","2022","2022/02/25","","","10.1002/mp.15579"
"35212403","Computer simulations of case difficulty in digital breast tomosynthesis using virtual clinical trials","Barufaldi B, Vent TL, Bakic PR, Maidment ADA.","Med Phys. 2022 Feb 25. doi: 10.1002/mp.15553. Online ahead of print.","Barufaldi B","Med Phys","2022","2022/02/25","","","10.1002/mp.15553"
"35199856","Technical Note: Commissioning of an ultrasound-compatible surrogate vaginal cylinder for transvaginal ultrasound-based gynecologic high-dose-rate brachytherapy","Van Elburg D, Roumeliotis M, Fenster A, Phan T, Meyer T.","Med Phys. 2022 Feb 24. doi: 10.1002/mp.15559. Online ahead of print.","Van Elburg D","Med Phys","2022","2022/02/24","","","10.1002/mp.15559"
"35196404","Toward 3D dose verification of an electronic brachytherapy source with a plastic scintillation detector","Georgi P, Kertzscher G, Nyvang L, Šolc J, Schneider T, Tanderup K, Johansen JG.","Med Phys. 2022 Feb 23. doi: 10.1002/mp.15568. Online ahead of print.","Georgi P","Med Phys","2022","2022/02/23","","","10.1002/mp.15568"
"35196394","Systematic numerical assessment of occupational exposure to electromagnetic fields of Transcranial Magnetic Stimulation","D'Agostino S, Colella M, Liberti M, Falsaperla R, Apollonio F.","Med Phys. 2022 Feb 23. doi: 10.1002/mp.15567. Online ahead of print.","D'Agostino S","Med Phys","2022","2022/02/23","","","10.1002/mp.15567"
"35195908","Effect of perfluorocarbon composition on activation of phase-changing ultrasound contrast agents","Mitcham TM, Nevozhay D, Chen Y, Nguyen LD, Pinton GF, Lai SY, Sokolov KV, Bouchard RR.","Med Phys. 2022 Feb 23. doi: 10.1002/mp.15564. Online ahead of print.","Mitcham TM","Med Phys","2022","2022/02/23","","","10.1002/mp.15564"
"35195901","Anatomically- and physiologically-informed computational model of hepatic contrast perfusion for virtual imaging trials","Sauer TJ, Abadi E, Segars P, Samei E.","Med Phys. 2022 Feb 23. doi: 10.1002/mp.15562. Online ahead of print.","Sauer TJ","Med Phys","2022","2022/02/23","","","10.1002/mp.15562"
"35194809","Quantitative analysis of dose-averaged linear energy transfer (LET(d) ) robustness in pencil beam scanning proton lung plans","Rana S, Traneus E, Jackson M, Tran L, Rosenfeld AB.","Med Phys. 2022 Feb 23. doi: 10.1002/mp.15569. Online ahead of print.","Rana S","Med Phys","2022","2022/02/23","","","10.1002/mp.15569"
"35194794","W-Transformer: Accurate Cobb angles estimation by using a transformer-based hybrid structure","Yao Y, Yu W, Gao Y, Dong J, Xiao Q, Huang B, Shi Z.","Med Phys. 2022 Feb 22. doi: 10.1002/mp.15561. Online ahead of print.","Yao Y","Med Phys","2022","2022/02/23","","","10.1002/mp.15561"
"35192211","Can bronchoscopically implanted anchored electromagnetic transponders be used to monitor tumor position and lung inflation during deep inspiration breath-hold lung radiotherapy?","Harris W, Yorke E, Li H, Czmielewski C, Chawla M, Lee RP, Hotca-Cho A, McKnight D, Rimner A, Lovelock DM.","Med Phys. 2022 Feb 22. doi: 10.1002/mp.15565. Online ahead of print.","Harris W","Med Phys","2022","2022/02/22","","","10.1002/mp.15565"
"35192200","Four-dimensional computed tomography of the left ventricle, Part II: Estimation of mechanical activation times","Manohar A, Pack JD, Schluchter AJ, McVeigh ER.","Med Phys. 2022 Feb 22. doi: 10.1002/mp.15550. Online ahead of print.","Manohar A","Med Phys","2022","2022/02/22","","","10.1002/mp.15550"
"35192194","Adaptive carbon ion radiotherapy for locally advanced non-small cell lung cancer: Organ-sparing potential and target coverage","Jia S, Chen J, Ma N, Zhao J, Mao J, Jiang G, Lu J, Wu K.","Med Phys. 2022 Feb 22. doi: 10.1002/mp.15563. Online ahead of print.","Jia S","Med Phys","2022","2022/02/22","","","10.1002/mp.15563"
"35192193","A two-stage multiresolution neural network for automatic diagnosis of hepatic echinococcosis from ultrasound images: A multicenter study","Cheng J, Wang H, Li R, Li X, Zhou X, Yang X, Wang Y, Xiong L, Fan H, Wang T, Li M, Ni D.","Med Phys. 2022 Feb 22. doi: 10.1002/mp.15548. Online ahead of print.","Cheng J","Med Phys","2022","2022/02/22","","","10.1002/mp.15548"
"35191035","Technical Note: Controlling the attenuation of 3D-printed physical phantoms for computed tomography with a single material","Tong H, Pegues H, Samei E, Lo JY, Wiley BJ.","Med Phys. 2022 Feb 21. doi: 10.1002/mp.15494. Online ahead of print.","Tong H","Med Phys","2022","2022/02/22","","","10.1002/mp.15494"
"35187667","Lung cancer diagnosis using deep attention-based multiple instance learning and radiomics","Chen J, Zeng H, Zhang C, Shi Z, Dekker A, Wee L, Bermejo I.","Med Phys. 2022 Feb 20. doi: 10.1002/mp.15539. Online ahead of print.","Chen J","Med Phys","2022","2022/02/21","","","10.1002/mp.15539"
"35184316","Technical Note: Temperature and concentration dependence of water diffusion in polyvinylpyrrolidone solutions","Amouzandeh G, Chenevert TL, Swanson SD, Ross BD, Malyarenko DI.","Med Phys. 2022 Feb 20. doi: 10.1002/mp.15556. Online ahead of print.","Amouzandeh G","Med Phys","2022","2022/02/20","","","10.1002/mp.15556"
"35184310","Fast and accurate dose predictions for novel radiotherapy treatments in heterogeneous phantoms using conditional 3D-UNet generative adversarial networks","Mentzel F, Kröninger K, Lerch M, Nackenhorst O, Paino J, Rosenfeld A, Saraswati A, Tsoi AC, Weingarten J, Hagenbuchner M, Guatelli S.","Med Phys. 2022 Feb 19. doi: 10.1002/mp.15555. Online ahead of print.","Mentzel F","Med Phys","2022","2022/02/20","","","10.1002/mp.15555"
"35184300","Withdrawal","","Med Phys. 2022 Feb 20. doi: 10.1002/mp.15528. Online ahead of print.","","Med Phys","2022","2022/02/20","","","10.1002/mp.15528"
"35184293","Phantom task-based image quality assessment of three generations of rapid kV-switching dual-energy CT systems on virtual monoenergetic images","Greffier J, Viry A, Barbotteau Y, Frandon J, Loisy M, de Oliveira F, Beregi JP, Dabli D.","Med Phys. 2022 Feb 19. doi: 10.1002/mp.15558. Online ahead of print.","Greffier J","Med Phys","2022","2022/02/20","","","10.1002/mp.15558"
"35182074","Volumetric dose extension for isodose tuning","Ma L, Chen M, Gu X, Lu W.","Med Phys. 2022 Feb 19. doi: 10.1002/mp.15560. Online ahead of print.","Ma L","Med Phys","2022","2022/02/19","","","10.1002/mp.15560"
"35181892","Reformulated McNamara RBE-weighted beam orientation optimization for intensity modulated proton therapy","Ramesh P, Lyu Q, Gu W, Ruan D, Sheng K.","Med Phys. 2022 Feb 18. doi: 10.1002/mp.15552. Online ahead of print.","Ramesh P","Med Phys","2022","2022/02/19","","","10.1002/mp.15552"
"35181886","Construction of artificial intelligence system of carpal bone age for Chinese children based on China-05 standard","Zhao X, Zhang M, Cheng M, Yue X, Li W, Li C.","Med Phys. 2022 Feb 18. doi: 10.1002/mp.15554. Online ahead of print.","Zhao X","Med Phys","2022","2022/02/19","","","10.1002/mp.15554"
"35179234","Proton beam dosimetry at ultra-high dose rates (FLASH): Evaluation of GAFchromic™ (EBT3, EBT-XD) and OrthoChromic (OC-1) film performances","Villoing D, Koumeir C, Bongrand A, Guertin A, Haddad F, Métivier V, Poirier F, Potiron V, Servagent N, Supiot S, Delpon G, Chiavassa S.","Med Phys. 2022 Feb 18. doi: 10.1002/mp.15526. Online ahead of print.","Villoing D","Med Phys","2022","2022/02/18","","","10.1002/mp.15526"
"35179232","An evaluation of solid state detectors for the relative dosimetry of kilovoltage X-ray beams","Daniel J, Yousif YAM, Zifodya J, Hill R.","Med Phys. 2022 Feb 18. doi: 10.1002/mp.15543. Online ahead of print.","Daniel J","Med Phys","2022","2022/02/18","","","10.1002/mp.15543"
"35179229","AAPM task group report 302: Surface guided radiotherapy","Al-Hallaq HA, Cerviño L, Gutierrez AN, Havnen-Smith A, Higgins SA, Kügele M, Padilla L, Pawlicki T, Remmes N, Smith K, Tang X, Tomé WA.","Med Phys. 2022 Feb 18. doi: 10.1002/mp.15532. Online ahead of print.","Al-Hallaq HA","Med Phys","2022","2022/02/18","","","10.1002/mp.15532"
"35178781","Design and evaluation of a modular multimodality imaging phantom to simulate heterogeneous uptake and enhancement patterns for radiomic quantification in hybrid imaging: A feasibility study","Kalisvaart GM, van Velden FHP, Hernández-Girón I, Meijer KM, Ghesquiere-Dierickx LMH, Brink WM, Webb A, de Geus-Oei LF, Slump CH, Kuznetsov DV, Schaart DR, Grootjans W.","Med Phys. 2022 Feb 17. doi: 10.1002/mp.15537. Online ahead of print.","Kalisvaart GM","Med Phys","2022","2022/02/18","","","10.1002/mp.15537"
"35174904","Exact gram filtering and efficient backprojection for iterative CT reconstruction","Shu Z, Entezari A.","Med Phys. 2022 Feb 17. doi: 10.1002/mp.15547. Online ahead of print.","Shu Z","Med Phys","2022","2022/02/17","","","10.1002/mp.15547"
"35174892","A robotic magnetic resonance-guided high-intensity focused ultrasound platform for neonatal neurosurgery: Assessment of targeting accuracy and precision in a brain phantom","Raghuram H, Keunen B, Soucier N, Looi T, Pichardo S, Waspe AC, Drake JM.","Med Phys. 2022 Feb 17. doi: 10.1002/mp.15540. Online ahead of print.","Raghuram H","Med Phys","2022","2022/02/17","","","10.1002/mp.15540"
"35172022","Automated diagnosis of age-related macular degeneration using multi-modal vertical plane feature fusion via deep learning","Chen M, Jin K, Yan Y, Liu X, Huang X, Gao Z, Wang Y, Wang S, Ye J.","Med Phys. 2022 Feb 16. doi: 10.1002/mp.15541. Online ahead of print.","Chen M","Med Phys","2022","2022/02/16","","","10.1002/mp.15541"
"35172016","Curv-Net: Curvilinear structure segmentation network based on selective kernel and multi-Bi-ConvLSTM","He Y, Sun H, Yi Y, Chen W, Kong J, Zheng C.","Med Phys. 2022 Feb 16. doi: 10.1002/mp.15546. Online ahead of print.","He Y","Med Phys","2022","2022/02/16","","","10.1002/mp.15546"
"35172015","Sonoporation based on repeated vaporization of gold nanodroplets","Liu WW, Ko HC, Li PC.","Med Phys. 2022 Feb 16. doi: 10.1002/mp.15544. Online ahead of print.","Liu WW","Med Phys","2022","2022/02/16","","","10.1002/mp.15544"
"35171511","A dual-supervised deformation estimation model (DDEM) for constructing ultra-quality 4D-MRI based on a commercial low-quality 4D-MRI for liver cancer radiation therapy","Xiao H, Ni R, Zhi S, Li W, Liu C, Ren G, Teng X, Liu W, Wang W, Zhang Y, Wu H, Lee HV, Cheung LA, Chang HC, Li T, Cai J.","Med Phys. 2022 Feb 16. doi: 10.1002/mp.15542. Online ahead of print.","Xiao H","Med Phys","2022","2022/02/16","","","10.1002/mp.15542"
"35170769","Multi-parametric magnetic resonance imaging for radiation treatment planning","Omari EA, Zhang Y, Ahunbay E, Paulson E, Amjad A, Chen X, Liang Y, Li XA.","Med Phys. 2022 Feb 16. doi: 10.1002/mp.15534. Online ahead of print.","Omari EA","Med Phys","2022","2022/02/16","","","10.1002/mp.15534"
"35170063","Transfer learning for data-efficient abdominal muscle segmentation with convolutional neural networks","McSweeney DM, Henderson EG, van Herk M, Weaver J, Bromiley PA, Green A, McWilliam A.","Med Phys. 2022 Feb 16. doi: 10.1002/mp.15533. Online ahead of print.","McSweeney DM","Med Phys","2022","2022/02/16","","","10.1002/mp.15533"
"35170057","Performance evaluation of a micro-CT system for laboratory animal imaging with iterative reconstruction capabilities","Muller FM, Vanhove C, Vandeghinste B, Vandenberghe S.","Med Phys. 2022 Feb 16. doi: 10.1002/mp.15538. Online ahead of print.","Muller FM","Med Phys","2022","2022/02/16","","","10.1002/mp.15538"
"35157337","Accelerate treatment planning process using deep learning generated fluence maps for cervical cancer radiation therapy","Yuan Z, Wang Y, Hu P, Zhang D, Yan B, Lu HM, Zhang H, Yang Y.","Med Phys. 2022 Feb 14. doi: 10.1002/mp.15530. Online ahead of print.","Yuan Z","Med Phys","2022","2022/02/14","","","10.1002/mp.15530"
"35157332","Deep learning-based body part recognition algorithm for three-dimensional medical images","Ouyang Z, Zhang P, Pan W, Li Q.","Med Phys. 2022 Feb 14. doi: 10.1002/mp.15536. Online ahead of print.","Ouyang Z","Med Phys","2022","2022/02/14","","","10.1002/mp.15536"
"35157318","Determining the applicability of a clinical knowledge-based learning model via prospective outlier detection","Zhang J, Sheng Y, Wolf J, Kayode O, Bradley J, Ge Y, Wu QJ, Yang X, Liu T, Roper J.","Med Phys. 2022 Feb 14. doi: 10.1002/mp.15516. Online ahead of print.","Zhang J","Med Phys","2022","2022/02/14","","","10.1002/mp.15516"
"35156216","A deep learning system for automated kidney stone detection and volumetric segmentation on noncontrast CT scans","Elton DC, Turkbey EB, Pickhardt PJ, Summers RM.","Med Phys. 2022 Feb 13. doi: 10.1002/mp.15518. Online ahead of print.","Elton DC","Med Phys","2022","2022/02/14","","","10.1002/mp.15518"
"35152442","Evaluation of improved CT-based hardware attenuation correction in PET/MRI: Application to a 16-channel RF breast coil","Lindemann ME, Oehmigen M, Lanz T, Grafe H, Bruckmann NM, Umutlu L, Quick HH.","Med Phys. 2022 Feb 13. doi: 10.1002/mp.15535. Online ahead of print.","Lindemann ME","Med Phys","2022","2022/02/13","","","10.1002/mp.15535"
"35147222","Fixed beamlines can replace gantries for particle therapy","Schreuder N, Ding X, Li Z.","Med Phys. 2022 Feb 11. doi: 10.1002/mp.15531. Online ahead of print.","Schreuder N","Med Phys","2022","2022/02/11","","","10.1002/mp.15531"
"35147216","Evaluating the clinical acceptability of deep learning contours of prostate and organs-at-risk in an automated prostate treatment planning process","Duan J, Bernard M, Downes L, Willows B, Feng X, Mourad WF, St Clair W, Chen Q.","Med Phys. 2022 Feb 11. doi: 10.1002/mp.15525. Online ahead of print.","Duan J","Med Phys","2022","2022/02/11","","","10.1002/mp.15525"
"35143053","Influence and compensation of patient motion in electromagnetic tracking based quality assurance in interstitial brachytherapy of the breast","Dürrbeck C, Gulde S, Abu-Hossin N, Fietkau R, Strnad V, Bert C.","Med Phys. 2022 Feb 10. doi: 10.1002/mp.15517. Online ahead of print.","Dürrbeck C","Med Phys","2022","2022/02/10","","","10.1002/mp.15517"
"35142376","Framelet tensor sparsity with block matching for spectral CT reconstruction","Yu X, Cai A, Wang L, Zheng Z, Wang Y, Wang Z, Li L, Yan B.","Med Phys. 2022 Feb 10. doi: 10.1002/mp.15529. Online ahead of print.","Yu X","Med Phys","2022","2022/02/10","","","10.1002/mp.15529"
"35137426","Feasibility investigation of logarithmic Nakagami parametric imaging in recovering underestimated perfusion metrics of DCEUS in the uneven acoustic field","Wang D, Ma Q, Wang Q, Fan Y, Lu S, Su Q, Zhong H, Wan M.","Med Phys. 2022 Feb 8. doi: 10.1002/mp.15527. Online ahead of print.","Wang D","Med Phys","2022","2022/02/09","","","10.1002/mp.15527"
"35134261","A feasibility study of the therapeutic application of a mixture of (67/64) Cu radioisotopes produced by cyclotrons with proton irradiation","De Nardo L, Pupillo G, Mou L, Esposito J, Rosato A, Meléndez-Alafort L.","Med Phys. 2022 Feb 8. doi: 10.1002/mp.15524. Online ahead of print.","De Nardo L","Med Phys","2022","2022/02/08","","","10.1002/mp.15524"
"35128672","Technical note: Evaluation of a V-Net autosegmentation algorithm for pediatric CT scans: Performance, generalizability, and application to patient-specific CT dosimetry","Adamson PM, Bhattbhatt V, Principi S, Beriwal S, Strain LS, Offe M, Wang AS, Vo NJ, Gilat Schmidt T, Jordan P.","Med Phys. 2022 Feb 6. doi: 10.1002/mp.15521. Online ahead of print.","Adamson PM","Med Phys","2022","2022/02/07","","","10.1002/mp.15521"
"35124811","Time-resolved MRI for off-line treatment robustness evaluation in carbon-ion radiotherapy of pancreatic cancer","Meschini G, Vai A, Barcellini A, Fontana G, Molinelli S, Mastella E, Pella A, Vitolo V, Imparato S, Orlandi E, Ciocca M, Baroni G, Paganelli C.","Med Phys. 2022 Feb 5. doi: 10.1002/mp.15510. Online ahead of print.","Meschini G","Med Phys","2022","2022/02/06","","","10.1002/mp.15510"
"35124798","An initial systematic study of the linear energy transfer distributions of a proton beam under a transverse magnetic field","Fujii Y, Ueda H, Umegaki K, Matsuura T.","Med Phys. 2022 Mar;49(3):1839-1852. doi: 10.1002/mp.15478. Epub 2022 Feb 11.","Fujii Y","Med Phys","2022","2022/02/06","","","10.1002/mp.15478"
"35122265","A back-projection-and-filtering-like (BPF-like) reconstruction method with the deep learning filtration from listmode data in TOF-PET","Lv L, Zeng GL, Zan Y, Hong X, Guo M, Chen G, Tao W, Ding W, Huang Q.","Med Phys. 2022 Feb 5. doi: 10.1002/mp.15520. Online ahead of print.","Lv L","Med Phys","2022","2022/02/05","","","10.1002/mp.15520"
